,from_id,to_id,travel_time
830,3605,ag_quad,43.0
831,3606,arts_quad,41.0
832,3606,eng_quad,44.0
833,3606,ag_quad,45.0
834,3609,arts_quad,44.0
835,3609,eng_quad,46.0
836,3609,ag_quad,51.0
837,361,arts_quad,50.0
838,361,eng_quad,48.0
839,361,ag_quad,50.0
840,3610,arts_quad,44.0
841,3610,eng_quad,46.0
842,3610,ag_quad,51.0
843,3613,arts_quad,44.0
844,3613,eng_quad,46.0
845,3613,ag_quad,51.0
846,3614,arts_quad,44.0
847,3614,eng_quad,46.0
848,3614,ag_quad,51.0
849,365,arts_quad,50.0
850,365,eng_quad,48.0
851,365,ag_quad,50.0
852,368,arts_quad,50.0
853,368,eng_quad,48.0
854,368,ag_quad,50.0
855,369,arts_quad,50.0
856,369,eng_quad,48.0
857,369,ag_quad,50.0
858,3711,arts_quad,16.0
859,3711,eng_quad,18.0
860,3711,ag_quad,23.0
861,3712,arts_quad,15.0
862,3712,eng_quad,17.0
863,3712,ag_quad,22.0
864,3715,arts_quad,29.0
865,3715,eng_quad,31.0
866,3715,ag_quad,36.0
867,3716,arts_quad,29.0
868,3716,eng_quad,31.0
869,3716,ag_quad,36.0
870,372,arts_quad,50.0
871,372,eng_quad,48.0
872,372,ag_quad,50.0
873,3721,arts_quad,41.0
874,3721,eng_quad,46.0
875,3721,ag_quad,44.0
876,3722,arts_quad,41.0
877,3722,eng_quad,46.0
878,3722,ag_quad,44.0
879,3725,arts_quad,41.0
880,3725,eng_quad,46.0
881,3725,ag_quad,44.0
882,3726,arts_quad,41.0
883,3726,eng_quad,46.0
884,3726,ag_quad,44.0
885,3727,arts_quad,41.0
886,3727,eng_quad,46.0
887,3727,ag_quad,44.0
888,3728,arts_quad,41.0
889,3728,eng_quad,46.0
890,3728,ag_quad,44.0
891,3733,arts_quad,41.0
892,3733,eng_quad,46.0
893,3733,ag_quad,44.0
894,3735,arts_quad,41.0
895,3735,eng_quad,46.0
896,3735,ag_quad,44.0
